"Median","MAD"
337.12094885,26.1113873726999
141.34213115,10.46708980191
63.112678745,1.03666204492201
147.48977525,6.89071456458004
353.0517502,26.29548344556
215.3088638,31.23671377848
225.47900175,7.72116204236998
426.11254525,25.8363082149899
252.9076486,26.7576970424401
23.72484026,2.713116353766
169.86782535,14.61030201162
370.3010014,9.57814159680002
281.25304615,26.35163714295
78.83473982,1.75734305228998
183.88647935,2.17744265487001
40.004642725,2.117435635602
89.28111233,8.92441352298297
