"Mean","Variance"
503.419113617,50.7728683661704
178.308620444233,12.2971701727321
73.6610936871,4.63366569490333
190.253531633667,7.38329474630386
613.005657919333,45.7276720178988
308.698644752467,28.267407862324
393.217244554333,43.5526298591908
676.298383200333,83.175159481781
363.374608227,8.55987670722239
36.9621248080333,3.41080090274211
302.217323413967,50.4108502547785
726.553998094667,30.480179689488
468.163702942667,88.5684166693658
115.7414173187,9.69546818192692
188.174550742433,4.9378391767312
64.5905205942,7.94234231961682
124.343995540633,6.99397130781066
