"Median","MAD"
38.243121455,1.154658628095
77.151995415,1.60573941863998
73.55628063,1.93908229523401
72.27869216,3.09482521542598
60.878369145,2.822120478681
55.13966737,1.230928042134
18.205705125,0.257202448755001
17.51510321,1.179172662969
58.370104005,2.53958568139499
19.633093125,0.859899423159004
20.511763355,1.946678996787
15.877584045,0.672598169249999
70.914306975,8.54662216495499
74.363885525,8.462478239775
73.561982975,1.183787855922
37.450453595,0.796455922415989
20.66568674,0.498698596346998
18.33671043,3.477049317651
19.454281325,0.228226973960997
51.757942505,0.801662124207001
37.431019215,0.130145378222994
73.84677911,2.20807611383101
70.544409475,3.997862264403
72.910819685,10.010875197519
19.718165905,0.122627150688001
20.743037535,0.741070619540999
20.732920835,2.217395418672
55.0421828,1.668926777994
20.38836887,0.921597622007998
19.218087405,1.083717196611
60.24462648,0.0763301339219994
61.35442763,2.474028007878
41.14097801,0.150804326924994
81.93108871,1.24178190469201
78.808866455,4.853700386556
79.90653895,2.38452979140601
18.08092773,1.235854929498
18.865128295,1.952060886678
55.90168484,1.544978682597
60.329274565,1.96655244918299
